,Member No_,Total_Lifetime_Spending,Correct_Category_Member,Num_of_Win,Num_of_Drop,Number_of_purchases,Discount_code_usage_count,Avg_Days_Between_Transactions,Gender,Age_Group,Store_No.,Purchase_Type,Customer_Type,churn
2880,907890448,23820000,Silver,1,0,2,0,179.5,Female,35-44 Years,HCM,For Self,Individual,1
2881,907940009,41550000,Silver,1,0,2,0,164.0,Female,45-54 Years,HCM,For Self,Individual,1
2882,907959194,34041000,Silver,1,0,3,4,65.0,Female,35-44 Years,HCM,For Self,Individual,1
2883,907959393,69865500,Gold,2,0,3,0,172.0,Female,18-24 Years,HCM,For Self,Individual,1
2884,908022152,53659000,Gold,1,0,4,0,19.75,Female,Unknown,HCM,For Self,Individual,1
2885,908040987,26003000,Silver,1,0,2,0,2.333333333,Female,25-34 Years,HCM,For Self,Individual,1
2886,908050009,38766000,Silver,1,0,3,8,35.66666667,Female,Unknown,HCM,For Self,Individual,1
2887,908067383,23390000,Silver,1,0,2,0,1.5,Female,25-34 Years,HCM,For Self,Individual,1
2888,908087292,39573500,Silver,1,0,3,0,1.666666667,Female,Unknown,HCM,For Self,Individual,1
2889,908113886,49526000,Silver,1,0,4,11,87.25,Female,25-34 Years,HN,For Self,Individual,0
2890,908120605,22437000,Silver,1,0,2,11,34.0,Female,25-34 Years,HCM,For Self,Individual,0
2892,908129130,34370000,Silver,1,0,4,9,2.0,Female,25-34 Years,ONLINE,For Self,Individual,1
2893,908136283,60622000,Silver,1,1,3,2,303.0,Female,18-24 Years,HCM,For Self,Individual,0
2894,908153915,27000500,Silver,1,0,7,7,24.71428571,Female,25-34 Years,HCM,For Self,Individual,1
2895,908165389,21214000,Silver,1,0,3,0,75.75,Female,25-34 Years,HN,Gift to Others,Individual,1
2896,908180017,25251000,Silver,1,0,3,8,58.66666667,Female,35-44 Years,HCM,For Self,Individual,1
2897,908186436,39924000,Bronze,1,1,7,3,172.0,Female,35-44 Years,HCM,Unknown,Individual,1
